"MMSE","LCN2_smooth","NEFL_smooth","platform"
11.4,0.255150047851202,0.696365122885304,"Soma"
11.5,0.252090996771627,0.69543279947023,"Soma"
11.6,0.249033518323631,0.694465266644842,"Soma"
11.7,0.245978161063643,0.693463040648716,"Soma"
11.8,0.242925473548093,0.692426637721429,"Soma"
11.9,0.23987600433341,0.691356574102558,"Soma"
12,0.236830301976023,0.690253366031679,"Soma"
12.1,0.233788915032361,0.689117529748369,"Soma"
12.2,0.230752392058854,0.687949581492204,"Soma"
12.3,0.227721281611932,0.686750037502761,"Soma"
12.4,0.224696132248022,0.685519414019616,"Soma"
12.5,0.221677492523555,0.684258227282347,"Soma"
12.6,0.21866591099496,0.682966993530529,"Soma"
12.7,0.215661936218667,0.68164622900374,"Soma"
12.8,0.212666116751103,0.680296449941555,"Soma"
12.9,0.209679001148699,0.678918172583552,"Soma"
13,0.206701137967885,0.677511913169306,"Soma"
13.1,0.203733075765088,0.676078187938395,"Soma"
13.2,0.20077536309674,0.674617513130396,"Soma"
13.3,0.197828548519268,0.673130404984884,"Soma"
13.4,0.194893180589102,0.671617379741436,"Soma"
13.5,0.191969807862672,0.670078953639629,"Soma"
13.6,0.189058978896406,0.66851564291904,"Soma"
13.7,0.186161242246735,0.666927963819245,"Soma"
13.8,0.183277146470086,0.66531643257982,"Soma"
13.9,0.180407240122891,0.663681565440342,"Soma"
14,0.177552071761577,0.662023878640388,"Soma"
14.1,0.174712189942574,0.660343888419535,"Soma"
14.2,0.171888143222312,0.658642111017359,"Soma"
14.3,0.16908048015722,0.656919062673436,"Soma"
14.4,0.166289749303726,0.655175259627343,"Soma"
14.5,0.163516499218261,0.653411218118657,"Soma"
14.6,0.160761278457253,0.651627454386953,"Soma"
14.7,0.158024635577132,0.64982448467181,"Soma"
14.8,0.155307119134328,0.648002825212804,"Soma"
14.9,0.152609277685268,0.64616299224951,"Soma"
15,0.149931659786384,0.644305502021506,"Soma"
15.1,0.147274813994103,0.642430870768368,"Soma"
15.2,0.144639288864856,0.640539614729672,"Soma"
15.3,0.142025632955072,0.638632250144996,"Soma"
15.4,0.139434394821179,0.636709293253916,"Soma"
15.5,0.136866123019607,0.634771260296008,"Soma"
15.6,0.134321366106786,0.63281866751085,"Soma"
15.7,0.131800672639144,0.630852031138017,"Soma"
15.8,0.129304591173111,0.628871867417086,"Soma"
15.9,0.126833670265117,0.626878692587634,"Soma"
16,0.12438845847159,0.624873022889237,"Soma"
16.1,0.12196950434896,0.622855374561473,"Soma"
16.2,0.119577356453657,0.620826263843916,"Soma"
16.3,0.117212563342108,0.618786206976146,"Soma"
