bin,PTGDS_mean,PTGDS_sd,n_cells,PTGDS_se,PTGDS_ma,n_donors,PTGDS_donor_mean
0.1,1.42809242316496,0.895831015400879,428,0.0433016265303428,1.65312191180678,1,1.428092
0.2,1.87815140044861,0.691035814232203,4787,0.00998777711906643,1.72749982881021,9,1.860828
0.3,1.87625566281706,0.668331032309993,7299,0.00782275889658821,1.87249781260113,8,1.852426
0.4,1.86308637453771,0.70265198209403,5360,0.00959749469739592,1.8804555290905,7,1.897158
0.5,1.90202454991672,0.715840347628128,4691,0.0104516162838309,1.92900673877422,5,1.921828
0.6,2.02190929186823,0.769568527415282,5326,0.0105450032338034,1.89413184456698,6,1.963612
0.7,1.758461691916,0.739166570907452,11656,0.00684648322087655,1.84296214410706,14,1.778475
0.8,1.74851544853696,0.774724384067306,14108,0.00652250618941525,1.67346517272541,17,1.808616
0.9,1.51341837772326,0.80429482158597,13764,0.00685556006955928,1.63096691313011,17,1.478370
